,number,time,duration,screen_x,screen_y
626,627,379415,100,752,671
627,628,379555,100,724,624
628,629,379834,120,701,636
629,630,381409,180,829,655
630,631,381608,319,757,678
631,632,382107,100,834,661
632,633,382246,120,750,646
633,634,382505,339,770,644
634,635,382864,199,767,622
635,636,383084,100,762,616
636,637,383303,100,755,612
637,638,393431,100,82,715
638,639,400509,100,74,666
639,640,402981,159,765,604
640,641,403380,160,767,646
641,642,403779,120,765,630
642,643,404297,100,845,637
643,644,406929,120,786,661
644,645,407686,100,225,199
645,646,409521,120,615,167
646,647,409660,120,616,183
647,648,410179,120,594,164
648,649,410398,100,619,159
649,650,410896,140,613,168
650,651,414804,100,583,199
651,652,414964,100,580,191
652,653,415901,139,642,195
653,654,416260,120,718,196
654,655,416459,120,740,196
655,656,416598,180,748,207
656,657,416798,120,737,188
657,658,417236,140,670,184
658,659,419011,219,617,185
659,660,419788,100,591,221
660,661,419988,100,610,218
661,662,420128,179,626,212
662,663,420785,100,722,186
663,664,421124,100,555,200
664,665,421802,179,623,197
665,666,422221,140,244,199
666,667,424713,100,434,193
667,668,425231,100,444,192
668,669,425690,100,451,185
669,670,425989,100,503,196
670,671,426188,100,503,204
671,672,427046,120,442,163
672,673,427504,120,437,181
673,674,428581,179,35,186
674,675,430276,120,87,780
675,676,431093,100,87,942
676,677,431233,120,90,960
677,678,431532,120,105,911
678,679,431691,160,81,848
679,680,433246,140,60,691
680,681,433924,120,53,675
681,682,434084,100,68,672
682,683,435260,219,66,678
683,684,435519,140,67,653
684,685,436117,100,13,628
685,686,436317,120,3,631
686,687,436616,160,87,670
687,688,437892,159,56,647
688,689,438071,100,62,648
689,690,438390,160,73,674
690,691,438749,179,60,640
691,692,438948,120,42,646
692,693,439088,399,81,658
693,694,442019,100,33,602
694,695,442956,180,116,733
695,696,443773,100,39,655
696,697,444152,120,132,652
697,698,444571,160,98,705
698,699,445049,100,45,656
699,700,445907,100,47,210
700,701,447043,100,67,636
701,702,447561,120,111,706
702,703,447960,100,114,705
703,704,448479,259,732,674
704,705,449037,120,720,623
